pending_bookings,available_workers,avg_completion_time,day_of_week,actual_demand
76,28,5.92,Saturday,101.48
65,43,1.37,Friday,44.87
109,47,4.41,Friday,96.99
43,28,5.2,Friday,48.04
5,49,5.22,Wednesday,5.0
7,34,1.16,Friday,5.0
81,12,3.25,Wednesday,76.67
96,18,5.46,Monday,110.02
66,9,2.04,Monday,65.74
67,19,5.87,Saturday,89.57
117,25,6.22,Sunday,139.98
29,28,7.87,Monday,49.78
60,23,2.47,Sunday,58.24
37,24,6.78,Sunday,58.18
42,60,4.64,Saturday,30.49
10,9,3.61,Tuesday,15.37
62,16,1.86,Tuesday,50.95
48,17,6.15,Thursday,58.71
49,55,2.65,Saturday,28.5
36,9,3.6,Thursday,40.03
49,11,1.44,Thursday,45.76
65,53,6.61,Tuesday,52.93
51,50,6.37,Saturday,50.74
25,10,6.14,Tuesday,42.2
84,52,3.1,Thursday,60.77
89,25,2.21,Saturday,89.19
79,31,5.46,Thursday,75.09
105,20,4.47,Friday,108.63
40,33,2.25,Sunday,30.98
103,32,5.8,Saturday,123.73
23,54,7.94,Saturday,30.98
24,41,6.23,Sunday,32.8
61,37,6.18,Thursday,58.1
22,20,7.65,Friday,44.88
51,44,2.42,Wednesday,30.87
109,41,4.96,Sunday,110.49
53,19,7.86,Tuesday,70.09
18,16,2.16,Thursday,14.97
19,33,5.9,Sunday,28.19
35,26,5.1,Sunday,50.2
5,37,5.11,Saturday,6.93
58,46,5.88,Tuesday,49.63
7,47,7.51,Tuesday,14.29
20,36,6.48,Tuesday,25.68
91,5,1.39,Sunday,99.26
61,39,6.97,Wednesday,57.04
79,45,2.58,Monday,60.52
16,42,3.64,Thursday,7.87
78,28,4.23,Monday,79.82
100,57,4.37,Sunday,91.61
20,25,4.05,Monday,28.06
76,46,7.56,Sunday,83.94
106,41,5.94,Monday,113.51
80,17,5.42,Tuesday,80.01
28,58,1.35,Friday,5.0
32,51,7.33,Tuesday,28.61
12,6,7.37,Tuesday,38.36
96,31,6.46,Saturday,117.81
40,24,1.05,Saturday,35.36
94,27,1.4,Monday,82.27
12,15,2.58,Sunday,20.3
62,20,1.92,Tuesday,51.31
64,35,3.79,Monday,61.3
54,18,7.46,Saturday,86.0
32,47,4.3,Friday,22.39
96,44,1.09,Thursday,64.47
105,46,2.98,Monday,91.57
45,4,1.31,Friday,46.57
104,57,1.25,Thursday,64.07
68,37,2.93,Wednesday,48.06
31,44,2.93,Monday,16.06
67,36,6.51,Monday,77.86
21,32,7.82,Wednesday,31.52
77,57,3.6,Wednesday,49.24
37,15,4.0,Monday,50.1
88,15,6.91,Wednesday,93.01
81,20,2.88,Tuesday,70.43
96,34,2.09,Thursday,76.06
116,34,6.97,Thursday,113.24
33,37,1.33,Thursday,16.24
17,41,5.34,Tuesday,17.16
50,48,4.93,Sunday,42.52
39,54,3.42,Wednesday,18.83
10,31,3.21,Friday,9.83
86,51,6.4,Wednesday,68.01
119,31,1.6,Monday,106.19
73,55,2.66,Saturday,55.03
51,46,6.13,Thursday,42.79
29,59,4.84,Wednesday,13.37
70,18,1.9,Friday,65.59
14,58,7.17,Monday,14.09
60,46,3.75,Tuesday,43.04
34,49,6.8,Sunday,36.88
118,59,6.51,Tuesday,96.17
113,12,5.37,Friday,128.16
9,32,4.46,Monday,10.08
37,27,7.86,Thursday,53.34
69,41,2.01,Wednesday,42.94
22,22,6.08,Monday,37.07
100,7,2.34,Sunday,112.32
115,3,3.37,Tuesday,108.45
53,32,3.16,Sunday,52.49
15,51,7.63,Sunday,21.53
89,5,7.77,Friday,116.51
30,47,2.28,Friday,12.21
67,16,1.15,Wednesday,50.77
93,58,6.04,Friday,80.77
90,32,3.93,Friday,87.94
63,52,1.62,Monday,40.35
31,6,5.79,Thursday,47.28
53,20,4.82,Wednesday,50.03
81,39,7.86,Monday,95.57
37,27,2.59,Thursday,27.21
102,50,3.83,Sunday,95.1
109,3,4.8,Monday,131.5
103,55,6.54,Saturday,106.7
5,48,4.84,Monday,5.0
25,17,5.29,Friday,42.16
116,11,2.58,Thursday,111.22
59,17,6.93,Wednesday,67.77
10,51,4.0,Wednesday,5.0
96,59,1.99,Thursday,59.69
85,26,5.65,Friday,94.49
73,6,2.51,Tuesday,68.9
99,14,1.68,Monday,94.62
9,60,7.03,Friday,8.96
106,39,4.22,Saturday,114.31
7,39,6.24,Sunday,16.22
57,45,3.03,Thursday,36.01
27,8,6.51,Monday,52.96
105,41,1.78,Wednesday,65.98
57,58,3.49,Sunday,43.72
41,48,7.85,Tuesday,41.32
78,26,6.56,Saturday,107.95
78,13,4.48,Wednesday,78.71
87,15,3.38,Thursday,80.92
21,36,7.1,Monday,32.23
89,27,4.81,Thursday,85.8
82,9,6.31,Sunday,107.86
77,54,6.28,Monday,73.55
114,6,1.13,Friday,109.92
5,10,1.88,Tuesday,11.47
55,22,5.62,Friday,66.98
49,31,2.13,Friday,37.95
81,56,2.79,Thursday,51.18
8,55,7.63,Sunday,14.48
66,53,4.92,Tuesday,47.04
69,47,6.26,Monday,70.8
117,48,4.91,Monday,109.95
108,12,4.87,Saturday,131.04
36,45,1.66,Wednesday,10.45
38,36,3.41,Saturday,33.9
96,59,2.98,Saturday,79.29
99,28,3.74,Monday,99.65
76,43,6.59,Thursday,72.0
43,51,3.6,Friday,26.74
30,60,4.16,Sunday,17.2
38,5,3.78,Friday,53.99
58,58,1.65,Friday,28.46
7,8,4.09,Tuesday,19.49
54,7,2.37,Monday,60.54
16,7,2.31,Sunday,16.99
69,56,1.66,Thursday,37.28
58,49,3.5,Tuesday,38.46
112,25,6.3,Wednesday,98.27
9,51,2.94,Thursday,5.0
98,11,3.19,Saturday,114.94
98,37,5.5,Thursday,90.93
61,22,2.37,Thursday,51.38
21,60,7.28,Friday,22.23
116,51,4.64,Thursday,95.01
51,44,4.13,Saturday,50.19
27,37,4.9,Saturday,33.36
83,52,2.16,Monday,58.5
105,20,5.29,Thursday,102.83
89,19,3.54,Friday,92.16
18,26,7.28,Thursday,32.66
70,5,2.18,Wednesday,61.62
79,34,4.55,Wednesday,67.62
